Date,SPP,TL 1st Enc. (mm),Full Tag,11/7/2023,11/9/2023,3/19/2024,3/21/2024,11/4/2024,11/5/2024,3/18/2025,3/20/2025,11/3/2025,11/6/2025,,,,,
11/7/2023,LOC,365,989.001030620442,1,1,1,0,1,0,1,0,1,0,,,,,
11/7/2023,RBC,337,989.001030620443,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,348,989.001030620444,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,162,989.001030620445,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,204,989.001030620446,1,0,0,0,0,0,1,1,0,0,,,,,
11/7/2023,LOC,237,989.001030620447,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,394,989.001030620448,1,0,0,0,0,0,0,0,1,0,,,,,
11/7/2023,RBT,316,989.001030620449,1,0,1,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,375,989.001030620450,1,1,1,1,0,0,1,1,0,0,,,,,
11/7/2023,LOC,373,989.001030620451,1,1,0,0,0,1,0,0,0,0,,,,,
11/7/2023,RBC,349,989.001030620452,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,393,989.001030620453,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SCN,84,989.001030620454,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,303,989.001030620455,1,0,1,0,1,0,0,0,0,0,,,,,
11/7/2023,SCN,121,989.001030620456,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,SCN,142,989.001030620457,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBT,306,989.001030620458,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,337,989.001030620459,1,1,0,0,0,0,0,0,0,0,,,,,
11/7/2023,LOC,445,989.001030620460,1,0,0,0,0,0,0,0,0,0,,,,,
11/7/2023,RBC,276,989.001030620461,1,0,0,0,0,0,0,0,0,0,,,,,
