Dec Tag #,Species,Capture_History,LOC,RBT,SRN,RBC,RBS,SCN,LengthFall23,LengthSpring24,LengthFall24,LengthSpring25,LengthFall25,TL 1st Enc,Date 1st Enc,,,,,
989.001030620344,LOC,1100000000,1,0,0,0,0,0,248,253.05,304.43,311.26,350.66,248,11/7/2023,,,,,
989.001030620345,LOC,1010000000,1,0,0,0,0,0,145,146,229.6,238.13,300.18,145,11/7/2023,,,,,
989.001030620346,RBC,1100000000,0,0,0,1,0,0,282,286.64,327.91,334.2,366.5,282,11/7/2023,,,,,
989.001030620347,RBC,1000000000,0,0,0,1,0,0,314,318.25,350.01,355.79,381.41,314,11/7/2023,,,,,
989.001030620348,LOC,1000000000,1,0,0,0,0,0,405,408.15,412.85,417.2,423.8,405,11/7/2023,,,,,
989.001030620349,LOC,1011000000,1,0,0,0,0,0,265,268,314.88,321.47,357.71,265,11/7/2023,,,,,
989.001030620350,LOC,1110011100,1,0,0,0,0,0,313,323,341,345,373.96,313,11/7/2023,,,,,
989.001030620351,RBT,1100100000,0,1,0,0,0,0,375,378.51,378,383.15,400.29,375,11/7/2023,,,,,
989.001030620352,SRN,1100000000,0,0,1,0,0,0,329,333.07,360.37,365.91,388.4,329,11/7/2023,,,,,
989.001030620353,LOC,1000100000,1,0,0,0,0,0,361,364.68,378,383.15,400.29,361,11/7/2023,,,,,
989.001030620354,SCN,1000000000,0,0,0,0,0,1,84,91,191,201,274,84,11/7/2023,,,,,
989.001030620355,LOC,1001000000,1,0,0,0,0,0,180,190,260.36,268.19,320.93,180,11/7/2023,,,,,
989.001030620356,SRN,1101000000,0,0,1,0,0,0,355,362,380.59,385.68,402.04,362,11/7/2023,,,,,
989.001030620357,RBC,1111000000,0,0,0,1,0,0,302,302,338.65,344.69,373.75,302,11/7/2023,,,,,
989.001030620358,LOC,1100000000,1,0,0,0,0,0,399,402.22,408.7,413.15,421.01,399,11/7/2023,,,,,
989.001030620359,RBC,1100000000,0,0,0,1,0,0,255,259.97,309.27,315.98,353.92,255,11/7/2023,,,,,
989.001030620360,RBT,1000100000,0,1,0,0,0,0,128,134.5,256,263.93,317.99,128,11/7/2023,,,,,
989.001030620361,RBT,1101000000,0,1,0,0,0,0,231,237,293.21,300.29,343.09,231,11/7/2023,,,,,
989.001030620362,RBC,1100000000,0,0,0,1,0,0,303,307.38,342.41,348.37,376.28,303,11/7/2023,,,,,
989.001030620364,LOC,1110101001,1,0,0,0,0,0,236,242,285,296,316,236,11/7/2023,,,,,
989.001030620365,LOC,1011000000,1,0,0,0,0,0,436,439,434.41,438.27,438.35,436,11/7/2023,,,,,
989.001030620366,RBT,1010000000,0,1,0,0,0,0,281,292,331.66,337.86,369.03,281,11/7/2023,,,,,
989.001030620367,SCN,1000000000,0,0,0,0,0,1,75,82,185,195,270,75,11/7/2023,,,,,
989.001030620368,LOC,1100000000,1,0,0,0,0,0,302,306.4,341.72,347.69,375.82,302,11/7/2023,,,,,
989.001030620369,SRN,1100000000,0,0,1,0,0,0,368,371.6,387.3,392.23,406.57,368,11/7/2023,,,,,
989.001030620370,RBC,1100000000,0,0,0,1,0,0,292,296.52,334.82,340.95,371.16,292,11/7/2023,,,,,
989.001030620371,RBC,1111000000,0,0,0,1,0,0,303,305,340.75,346.74,375.16,303,11/7/2023,,,,,
